Name,Latitude,Longitude
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Plaza de Bami 26 ( Lda. Almudena Garriga Gamarra),404.301.441,-38.176.307
Farmacia Goya 12,404.301.441,-38.176.307
Farmacia Velázquez 70 - 12 HORAS,404.301.441,-38.176.307
Farmacia Puertas,404.301.441,-38.176.307
Farmacia Velazquez 30,404.301.441,-38.176.307
Farmacia Goya 89 Abierto hasta las 23h,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Coello 74,404.301.441,-38.176.307
Farmacia Hermosilla 5,404.301.441,-38.176.307
Farmacia Farmacasas,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Martín Puerta,404.301.441,-38.176.307
Farmacia Goya 19,404.301.441,-38.176.307
Farmacia Vergara 12,404.301.441,-38.176.307
Farmacia Ayala 53 ( Dra. Leonor Huete Gónzalez ),404.301.441,-38.176.307
Farmacia Sexta Avenida C.D.,404.674.302,-39.549.591
FARMACIA JORGE JUAN 34 Farmacia María Escobar / Farmacia Patricio de Román,404.674.302,-39.549.591
Farmacia Velázquez 20 - Eugenia Frattini y de Castejón-Narvaiza,404.674.302,-39.549.591
Farmacia,404.674.302,-39.549.591
FARMACIA MARTEL,404.301.441,-38.176.307
Autoescuela Fitipaldi,404.301.441,-38.176.307
Farmacia Fontaneda,404.301.441,-38.176.307
Farmacia Fernando VI Farmacia 12 Horas Parafarmacia Madrid Centro,404.301.441,-38.176.307
Farmacia Trebol Doctor Castelo,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Begoña Cabezas de Herrera,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
FARMACIA INTERNACIONAL DE MADRID,404.301.441,-38.176.307
Farmacia A Montesinos,404.301.441,-38.176.307
FARMACIA OPTICA Lda. E. Gomez Navarro,404.301.441,-38.176.307
Farmacia Farmalife Alcalá,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Online | Mi Farmacia Madrid,404.301.441,-38.176.307
La Farmacia de Silvia,404.301.441,-38.176.307
Farmacia Princesa 16,404.301.441,-38.176.307
Crespo Tobarra María Francisca,404.301.441,-38.176.307
FARMACIA LASTRA,404.301.441,-38.176.307
Antigua farmacia de la Reina Madre,404.301.441,-38.176.307
Sociedad Española de Farmacia Hospitalaria,404.301.441,-38.176.307
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Laboratorio,404.301.441,-38.176.307
Farmacia Online Galileo 61 | Envío mismo Día Madrid y alrededores.,404.301.441,-38.176.307
Farmacia Serrano 112,404.301.441,-38.176.307
Farmacia Lastra Alonso,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Adefarma Asociación de Empresarios Farmaceuticos de Madrid,404.301.441,-38.176.307
Nestares López Marta,404.301.441,-38.176.307
Farmacia en Ciudad Lineal,404.301.441,-38.176.307
Farmacia Trébol Torrelaguna,404.301.441,-38.176.307
Farmacia Enrique Baeza,404.301.441,-38.176.307
Farmacia Trébol Orense,404.301.441,-38.176.307
Farmacia Colón,404.301.441,-38.176.307
Farmacia Trébol Urquijo,404.301.441,-38.176.307
Farmacia Trébol García Noblejas,404.301.441,-38.176.307
Farmacia 12 Horas,404.301.441,-38.176.307
Farmacia Av. de San Luis 52,357.142.164,-70.564.661
Farmacia Trébol Retiro,404.173.769,-38.182.474
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Trébol Delicias (12h),404.301.441,-38.176.307
Cristina Sanz,404.301.441,-38.176.307
Consejo General de Colegios Farmacéuticos,404.301.441,-38.176.307
FARMACIA PUERTA DE ATOCHA,404.301.441,-38.176.307
Farmacia Trébol Oporto,404.301.441,-38.176.307
Farmacia Matilde González Rodríguez Vilariño,404.301.441,-38.176.307
Farmacia,404.301.441,-38.176.307
Farmacia Cejudo,403.550.228,-38.261.075
Farmacia del Globo Atocha,403.550.228,-38.261.075
Nuria Viou Nieto,403.550.228,-38.261.075
Farmacia Optica Ortopedia Palomeque,403.550.228,-38.261.075
FARMACIA MARAÑON,403.550.228,-38.261.075
FARMACIA BRONCE 24 HORAS,403.550.228,-38.261.075
Farmacia Aurum 24 H Madrid Sur,403.550.228,-38.261.075
Farmacia Trébol Pirámides,403.550.228,-38.261.075
Farmacia El Castillo,403.550.228,-38.261.075
FARMACIA GUTENBERG,403.550.228,-38.261.075
Farmacia Cardona,403.550.228,-38.261.075
Farmacia,403.550.228,-38.261.075
FARMACIA MARTEL,404.301.441,-38.176.307
Farmacia Trébol Urgel 12 horas,404.301.441,-38.176.307
farmacia online,404.301.441,-38.176.307
Farmacia Bonnín,404.301.441,-38.176.307
Farmacia José Miguel Tenorio Márquez FARMACIA GASSET 85,404.301.441,-38.176.307
Farmacia Trébol Albufera,404.301.441,-38.176.307
Farmacia Silvano,404.301.441,-38.176.307
Aeseg Asociación Española de Medicamentos Genericos,404.301.441,-38.176.307
Farmacia Trébol Mediterráneo,404.301.441,-38.176.307
Farmacia Depósito de la I G E S A N D E F,404.301.441,-38.176.307
Farmacia Trébol Monforte (12h),404.301.441,-38.176.307
"Farmacia de Castro Domínguez-Gil, Ana",404.301.441,-38.176.307
Farmacia CC Las Rosas,404.301.441,-38.176.307
FARMACIA CONDE 24 HORAS,404.301.441,-38.176.307
Mannicres Farma Sl,404.301.441,-38.176.307
Farmacia Caceres 12. T. Alonso-Buron Llamazares,404.301.441,-38.176.307
Comprar PrEP,357.142.164,-70.564.661
Hospital Gregorio Marañón Farmacia,404.188.483,-38.123.649
Usano Fernández Pacheco Juan Antonio,404.188.483,-38.123.649
Farmacia Valverde Mayoral,357.146.136,-70.562.725
FARMACIA MARTEL,404.301.441,-38.176.307
Comprar Farmacia - Urbagesa,404.301.441,-38.176.307
Farmacia Goya 131,404.301.441,-38.176.307
FARMAFY.es,357.142.164,-13.610.581
Farmacia La Esencia,404.243.946,-38.160.312
Farmacia Javier Cobos,404.243.946,-38.160.312
Farmacia Barrero Fernández Gutiérrez Barrero,403.507.479,-38.497.983
Farmacia Gamboa,403.507.479,-38.497.983
Tienda De Milene,403.507.479,-38.497.983
Pulido Ruiz Virginia,403.507.479,-38.497.983
AEFHOM,403.507.479,-38.497.983
Rocío De La Torre Riera,403.507.479,-38.497.983
Grado Blas C B,403.507.479,-38.497.983
Farmacia+,403.507.479,-38.497.983
Lancharro Carretero Josefa,405.151.376,-38.017.638
Farmacia Pico Sánchez,40.417.996,-38.134.037
Farmacia Plus Online - Marketing para Farmacias,40.417.996,-38.134.037
Optica Farmacia,40.417.996,-38.134.037
Galenos ParaFarmacia,40.417.996,-38.134.037
Viñuelas Adanez María José,40.417.996,-38.134.037
FARMACIA MARTEL,404.301.441,-38.176.307
sefar,404.301.441,-38.176.307
PSI CRO Madrid - Spain,404.301.441,-38.176.307
Galdón Cabrera Carlos,404.301.441,-38.176.307
Farma Express,357.142.164,-70.564.661
Colegio Oficial de Farmaceuticos de Madrid,404.312.636,-38.374.148
Giménez De Córdoba Francisco,404.312.636,-38.374.148
Sociedad Española de Farmacéuticos de Atención Primaria,404.312.636,-38.374.148
Impulsa Tu Farmacia - Gestión de Farmacias,357.142.164,-70.564.661
Facultad de Farmacia,404.458.564,-38.651.397
Aeseg,404.458.564,-38.651.397
María Casas Galvez,404.458.564,-38.651.397
María Dolores Noguera Cases,404.458.564,-38.651.397
"Farmazul Gestión, SA",404.458.564,-38.651.397
Asociación Española de Farmacéuticos de Letras y Artes,404.458.564,-38.651.397
GEA THOR E ISIS SL,404.458.564,-38.651.397
Fundación Cultural Cofmanefp,404.458.564,-38.651.397
Paredes Carrasco Julia,404.458.564,-38.651.397
Doctortest,404.458.564,-38.651.397
José A Carretero Accame,404.458.564,-38.651.397
FARMACIA MARTEL,404.301.441,-38.176.307
Clinica Veterinaria,404.301.441,-38.176.307
Laboratorios Farmaceuticos Guerbet,404.301.441,-38.176.307
PVpharm,404.301.441,-38.176.307
Melyfarma S L,404.301.441,-38.176.307
Match Point Farma,357.146.136,-70.565.873
anefp.org,404.215.317,-38.297.791
Droguería Perfumeria Dorinda,404.215.317,-38.297.791
Graviola,404.215.317,-38.297.791
FEFE,404.215.317,-38.297.791
Support Pharma,404.215.317,-38.297.791
Ortopedia Corces,404.215.317,-38.297.791
SIGRE,404.215.317,-38.297.791
Shionogi S.L.U.,404.215.317,-38.297.791
Actafarma,357.142.164,-70.564.661
intima,404.237.272,-38.274.985
Cosméticos Paquita Ors,404.237.272,-38.274.985
Farmacia Veterinaria &amp; Peluquería Canina,404.237.272,-38.274.985
De Prado Perfumerías,404.237.272,-38.274.985
estudioAMA | Arquitectos,404.237.272,-38.274.985
FARMACIA MARTEL,404.301.441,-38.176.307
Guinama,357.142.164,-70.564.661
Luis Sáiz García,404.564.644,-38.292.522
San Rafael De Las Nieves S L,404.564.644,-38.292.522
PHARMAZONE,357.142.164,-70.564.661
Chemo España Sl,404.283.953,-38.241.498
ESAME,404.283.953,-38.241.498
Psicotecnico Felipe II (bajo derecha),404.283.953,-38.241.498
Sanovel,404.283.953,-38.241.498
Rosa María Gonzáles López,404.283.953,-38.241.498
FUINSA,404.283.953,-38.241.498
Druni Perfumerías ®,404.283.953,-38.241.498
Main Servicios Profesionales S.A.,404.283.953,-38.241.498
Perfumería Padilla,404.283.953,-38.241.498
Home Capital,404.283.953,-38.241.498
Distribuidora Farmaceutica Sevillana S L,404.283.953,-38.241.498
Farmacia Martínez García,404.853.314,-34.974.541
Farmaforum,404.655.804,-37.566.809
Parafarmacia Coronado,442.463.608,11.805.129
Fundación ESAME. (Pharmaceutical Business School),42.304.574,-5.146.873
FARMACIA MARTEL,404.301.441,-38.176.307
Zona Ortopedia,404.301.441,-38.176.307
Tutto,404.301.441,-38.176.307
Santamaría Carreras Rosa,404.301.441,-38.176.307
Calzedonia,404.301.441,-38.176.307
"Psyma Ibérica, estudios de mercado",404.301.441,-38.176.307
SEDOF,404.301.441,-38.176.307
Vázquez de Prada Abogados,404.301.441,-38.176.307
Farmacia Rodríguez García,404.429.207,-3.683.705
Farmacia Romero Martín,404.429.207,-3.683.705
María Teresa López,404.429.207,-3.683.705
Farmacia Linde García,40.446.013,-36.738.346
Farmacia Cantón,404.445.083,-36.826.066
Farmacia Prosperidad (Lda. Estefania Jimenez Rivas),404.386.179,-3.687.113
Farmacia del Pilar,404.386.179,-3.687.113
Farmacia Avenida de América,404.386.179,-3.687.113
Farmacia Durán,404.386.179,-3.687.113
Farmacia Corazon Maria,404.461.722,-36.757.477
Farmacia,404.384.915,-36.915.589
Farmacia Soto Casteleiro Peña Soto,404.447.617,-36.782.308
Farmacia,404.425.015,-36.911.047
Farmacia Luis Álvarez de Cienfuegos López,404.394.206,-36.824.629
Farmacia Cristina Lanzuela,404.394.206,-36.824.629
Farmacia,404.394.206,-36.824.629
Farmacia Paula Jaen Olasolo,404.466.142,-36.935.753
Farmacia Marta Prieto,404.469.775,-36.764.532
Farmacia Bueno,404.469.775,-36.764.532
FARMACIA MARTEL,404.373.558,-37.003.856
Farmacia Marta Prieto,404.373.558,-37.003.856
Farmacia Farmacartagena121CB,404.373.558,-37.003.856
Farmacia García Sánchez,404.373.558,-37.003.856
Farmacia Urgencia,404.373.558,-37.003.856
Farmacia Torres Vila,404.373.558,-37.003.856
FARMACIA LUIS MOLINA CANO,404.373.558,-37.003.856
Farmacia María Sánchez Campos,404.460.458,-36.986.659
FARMACIA CRUZ DEL RAYO,404.460.458,-36.986.659
Farmacia 24h Bernabeu Ldo. Miguel Reyes,404.460.458,-36.986.659
Farmacia Sánchez Casas Pérez,404.357.884,-36.834.869
Adefarma Asociación de Empresarios Farmaceuticos de Madrid,404.301.623,-37.145.262
Farmacia Linde García,404.468.524,-36.865.781
Ruiz Mejías Mercedes Caridad,404.468.524,-36.865.781
